sale_price,sq_ft,acreage
341100,2400,0.17
310700,2400,0.19
285000,2401,0.18
306100,2402,0.17
296000,2402,0.19
358000,2402,0.3
290100,2403,0.16
495000,2403,0.53
319300,2407,0.11
308900,2409,0.1
318500,2409,0.1
350000,2409,0.32
275000,2413,0.34
355000,2414,0.13
354100,2417,0.16
415800,2420,0.17
265000,2421,0.14
240000,2425,0.21
403000,2431,0.16
355000,2432,0.16
295000,2432,0.19
340000,2432,0.24
343000,2434,0.11
335000,2434,0.12
290000,2438,0.18
300000,2441,0.13
250000,2441,1
300000,2442,0.11
375000,2451,0.36
390000,2458,0.16
299000,2459,0.23
307500,2460,0.22
370000,2464,0.19
285000,2466,0.14
330000,2466,0.15
319000,2468,0.17
333000,2472,0.14
320000,2476,0.17
307000,2477,0.3
349500,2480,0.13
339900,2483,0.2
312400,2487,0.13
345000,2490,0.1
292500,2490,0.24
350000,2492,0.24
302300,2493,0.16
355700,2495,0.16
474000,2500,0.25
314000,2502,0.48
339000,2506,0.22
290000,2507,0.34
280000,2508,0.2
329900,2515,0.16
305000,2515,0.16
382600,2515,0.17
309000,2516,0.25
335000,2517,0.24
380500,2522,0.54
325000,2523,0.1
368000,2524,0.21
280000,2530,0.18
360000,2534,0.11
282000,2535,0.42
525000,2539,5.11
375000,2544,0.17
548800,2544,0.24
318000,2547,0.1
250000,2547,0.1
365000,2547,0.11
327800,2547,0.19
201500,2547,0.22
330000,2547,0.23
375000,2547,0.32
272500,2550,0.25
309000,2551,0.22
287000,2552,0.21
333500,2552,0.26
344000,2552,0.29
245000,2561,0.21
330000,2561,0.51
289400,2563,0.15
329500,2565,0.15
357500,2565,0.26
332500,2566,0.34
351000,2567,0.19
305000,2568,0.28
385000,2568,0.51
349000,2571,0.23
362900,2573,0.11
275000,2573,0.57
352000,2574,0.21
420000,2576,0.16
365500,2576,0.27
379600,2577,0.17
236000,2581,0.17
400900,2582,0.22
330000,2587,0.17
335000,2592,0.16
325000,2593,0.19
416000,2593,0.74
264000,2595,0.1
362800,2596,0.33
303000,2596,0.35
386600,2598,0.16
345000,2601,0.16
330000,2606,0.21
148100,2608,0.17
321000,2610,0.35
419800,2611,0.16
256500,2612,0.13
262700,2612,0.14
260700,2612,0.14
252000,2615,0.15
344000,2615,0.18
422500,2615,0.19
406100,2616,0.15
272000,2617,0.1
330000,2621,0.18
327500,2622,0.22
311300,2624,0.16
331200,2624,0.2
325000,2624,0.24
385000,2626,0.19
465000,2626,0.58
327600,2627,0.21
390700,2629,0.17
305000,2630,0.17
324900,2630,0.27
257600,2633,0.13
264500,2635,0.13
366500,2635,0.31
395500,2640,0.17
403400,2640,0.18
442300,2640,0.22
295000,2640,0.4
262000,2642,0.13
290000,2644,0.25
413500,2647,0.21
347500,2649,0.14
339000,2650,0.14
313400,2651,0.18
405000,2651,0.36
295700,2653,0.2
338900,2654,0.13
325000,2655,0.13
321000,2655,0.15
318000,2656,0.14
365000,2656,0.15
350000,2658,0.21
325000,2660,0.2
325000,2660,0.7
285000,2667,0.14
509300,2670,0.32
308200,2671,0.15
288000,2672,0.4
429000,2673,0.35
384300,2676,0.14
410000,2676,0.27
310000,2678,0.11
405000,2684,0.19
514000,2684,0.24
421200,2684,0.24
265000,2686,0.11
295000,2686,0.51
410000,2689,0.33
383000,2699,0.23
324000,2701,0.21
322000,2706,0.22
312000,2714,0.25
337000,2719,0.23
292000,2720,0.23
350000,2732,0.14
329000,2732,0.18
390000,2736,0.24
355714,2742,0.2
444600,2742,0.21
330900,2748,0.29
311000,2748,0.29
380000,2749,0.23
385000,2750,0.23
365000,2752,0.14
383000,2758,0.17
405000,2765,0.35
450000,2770,0.22
430000,2771,0.23
338000,2775,0.22
382600,2778,0.21
310000,2781,0.35
430000,2782,0.2
340000,2784,0.23
318500,2786,0.21
378800,2791,0.14
350000,2794,0.22
436700,2797,0.33
291900,2801,0.16
418000,2804,0.16
420000,2805,0.23
435000,2808,0.59
360000,2809,0.19
379900,2810,0.1
385000,2811,0.27
405000,2814,0.32
101000,2820,0.47
397000,2821,0.14
375000,2828,0.35
431000,2832,0.39
392500,2833,0.15
374900,2834,0.17
379000,2834,0.22
407600,2836,0.19
430000,2836,0.23
485000,2840,0.28
465000,2841,0.29
360000,2844,0.15
385000,2846,0.3
424900,2852,0.19
367500,2853,0.17
402000,2854,0.21
399000,2855,0.32
345000,2856,0.12
399900,2861,0.27
335000,2862,0.12
340000,2863,0.2
360200,2864,0.11
435000,2864,0.3
395400,2865,0.14
410000,2870,0.62
385000,2873,0.16
315000,2874,0.19
442500,2878,0.25
360000,2878,0.26
365000,2886,0.22
393600,2889,0.14
465000,2894,0.22
390000,2899,0.37
350000,2901,0.14
332000,2901,0.15
399000,2901,0.27
375000,2902,0.75
385000,2903,0.14
367000,2904,0.18
315000,2904,0.19
365000,2909,0.15
348400,2909,0.2
324000,2911,0.11
240000,2912,1.05
410000,2919,0.36
489900,2922,0.23
278000,2924,0.28
451000,2929,0.23
379200,2930,0.11
340500,2930,0.11
354000,2931,0.16
390000,2932,0.13
391900,2934,0.14
400000,2940,0.36
473600,2942,0.21
477100,2942,0.23
387500,2944,0.19
350000,2944,0.44
486500,2947,0.23
385000,2948,0.26
295000,2950,0.17
372500,2953,0.1
349900,2955,0.23
416900,2959,0.31
395000,2960,0.39
315000,2961,5
270500,2962,0.13
549000,2969,5.48
275000,2972,5.91
268200,2974,0.13
369000,2974,0.13
434000,2977,0.3
549900,2980,0.7
306000,2984,0.2
390000,2985,0.22
380000,2992,0.13
375000,2995,0.13
330000,2997,0.14
510000,3001,0.23
444000,3005,0.36
432000,3012,0.39
346300,3014,0.1
380000,3014,0.26
335000,3014,3.82
407500,3019,0.15
410000,3019,0.17
417500,3025,0.2
459000,3029,0.18
425000,3036,0.28
383000,3036,0.62
601000,3040,5
434900,3041,0.15
423800,3042,0.17
440000,3050,0.15
408400,3054,0.17
469000,3055,0.24
409000,3058,0.17
459000,3061,0.3
539900,3062,0.5
435000,3073,0.24
514400,3081,0.4
377000,3084,0.21
490000,3085,0.51
622500,3092,0.32
469000,3093,0.19
442000,3096,0.23
409000,3106,0.13
500000,3109,0.51
447500,3117,0.22
481000,3117,0.23
457200,3123,0.19
365000,3127,0.1
339000,3127,0.12
330000,3128,0.12
520000,3128,0.21
287500,3130,0.15
345000,3134,0.14
358300,3134,0.2
519857,3137,0.17
509000,3139,0.2
499700,3141,0.43
444800,3141,0.75
475000,3145,0.23
505100,3152,0.23
410200,3159,0.24
455000,3163,0.59
375000,3164,0.1
450300,3167,0.22
345000,3167,0.5
395000,3170,0.25
430000,3175,7.37
430000,3176,0.59
459800,3177,0.19
456000,3180,0.28
510000,3190,0.4
420000,3190,0.49
405000,3192,0.17
500000,3192,0.24
144600,3198,0.35
440000,3207,0.18
483000,3208,0.17
450000,3212,0.34
345000,3214,0.14
402800,3223,0.42
450000,3224,0.24
455000,3224,0.26
348000,3228,0.21
485000,3234,0.16
457500,3234,0.16
484000,3236,0.18
400000,3239,0.43
377500,3240,0.23
534000,3243,0.25
540000,3243,0.7
425000,3244,0.26
365000,3251,0.2
376100,3263,0.16
432500,3273,0.28
405000,3277,0.26
395000,3282,0.18
260000,3291,0.15
460000,3294,0.33
475000,3300,0.26
360000,3304,0.53
464900,3305,0.21
575800,3305,0.51
485000,3307,0.26
490000,3309,0.51
560000,3315,0.59
500000,3320,0.51
440000,3325,0.25
474500,3328,0.29
475000,3329,0.34
385000,3334,0.35
375000,3338,0.15
370200,3351,0.15
380100,3358,0.17
600000,3361,1.6
527300,3363,0.32
635500,3380,0.91
364900,3381,0.22
450000,3383,0.19
616700,3387,0.31
393400,3391,0.16
425000,3393,0.15
450000,3428,0.58
357500,3431,0.13
430000,3441,0.29
620000,3442,0.35
465000,3444,0.32
539000,3456,4.93
440000,3471,0.53
405800,3485,0.19
468500,3489,0.22
405000,3491,0.3
530900,3492,0.33
424900,3492,0.35
529000,3493,0.52
417200,3506,0.19
613000,3522,0.45
390000,3530,0.27
432700,3539,0.23
555000,3544,0.53
574200,3549,0.23
452000,3564,0.21
540000,3567,0.35
472900,3569,0.23
454000,3574,0.31
451600,3577,0.34
483400,3585,0.22
450000,3586,0.38
563300,3587,0.25
442600,3590,0.17
505000,3590,0.35
515000,3591,0.32
454600,3595,0.22
689000,3595,0.26
575000,3595,0.28
525000,3604,0.22
126100,3617,0.45
401000,3629,0.27
640000,3629,5.67
685000,3630,0.26
446000,3635,0.71
480000,3640,0.25
550000,3641,0.22
499800,3644,0.25
475000,3648,0.21
519000,3656,0.26
474857,3668,0.18
570500,3674,0.39
454000,3675,0.4
496500,3694,0.3
519900,3697,0.51
670000,3702,0.42
549100,3703,0.21
565000,3703,0.37
535000,3716,0.5
150000,3719,0.19
910600,3723,0.35
417000,3731,0.25
575000,3736,0.51
565000,3740,0.39
610000,3741,0.4
547500,3742,0.27
600000,3742,0.51
590000,3752,0.51
585000,3773,0.59
579900,3789,0.24
601000,3796,0.4
646500,3825,0.3
627700,3830,0.4
499900,3834,0.15
498500,3842,0.14
573000,3869,0.51
689900,3881,0.51
640000,3893,0.28
550000,3902,0.29
560000,3905,0.56
583500,3919,0.55
632600,3926,0.42
399900,3939,0.23
701000,3939,0.27
525000,3943,0.41
550000,3964,0.24
613900,3967,0.53
630000,3977,0.5
461000,3990,0.27
740000,4005,0.4
759800,4008,0.31
668000,4031,0.25
505000,4031,0.38
685000,4066,0.37
560000,4067,0.38
460000,4082,0.62
687400,4121,0.21
784900,4138,0.26
465000,4171,0.27
600000,4193,0.5
645000,4232,0.21
297500,4266,0.48
595000,4275,0.3
466400,4277,0.2
421900,4277,0.22
435000,4283,0.21
505000,4284,0.44
680000,4284,1.06
405000,4307,0.22
766200,4345,0.34
666500,4351,0.38
