Date,Open,High,Low,Close,Adj Close,Volume
7/1/2019,85.129997,87.790001,83.099998,86.860001,86.860001,5326800
7/2/2019,86.269997,86.849998,84,85.129997,85.129997,1866000
7/3/2019,85.449997,90.599998,84.510002,90.449997,90.449997,2706100
7/5/2019,90.139999,91.970001,88,91.879997,91.879997,2582700
7/8/2019,91.440002,92.790001,89.889999,90.760002,90.760002,1793300
7/9/2019,90.269997,91.269997,89.099998,90.93,90.93,1557400
7/10/2019,91.760002,93.449997,91.550003,92.720001,92.720001,2059300
7/11/2019,92.900002,93.199997,90.452003,91.400002,91.400002,1784600
7/12/2019,93.010002,94.93,91.370003,93.300003,93.300003,2689700
7/15/2019,94,100.650002,93.779999,99.800003,99.800003,3835600
7/16/2019,100.139999,100.5,96.5,97.099998,97.099998,2120100
7/17/2019,97.620003,101.987,97.540001,99.730003,99.730003,2314100
7/18/2019,99.239998,99.5,95.015999,95.190002,95.190002,2035600
7/19/2019,97.150002,97.790001,92.879997,93.379997,93.379997,1747700
7/22/2019,94.190002,97.464996,93.504997,96.669998,96.669998,1483000
7/23/2019,97.5,98.150002,93.519997,97.389999,97.389999,2241700
7/24/2019,97.120003,97.879997,94.684998,95.940002,95.940002,1283700
7/25/2019,95.839996,99.599998,95.75,97.110001,97.110001,1870300
7/26/2019,97.949997,104.489998,97.830002,102.199997,102.199997,3040700
7/29/2019,102.599998,102.998001,92.099998,96.470001,96.470001,4230300
7/30/2019,95.190002,99.349998,94.029999,95.489998,95.489998,1635500
7/31/2019,96.43,97.5,93.5,95.510002,95.510002,1514700
8/1/2019,95.75,98.660004,93.800003,95.099998,95.099998,1530400
8/2/2019,94.919998,96,92.566002,93.660004,93.660004,1117100
8/5/2019,90.699997,91.190002,87.290001,89.690002,89.690002,1774400
8/6/2019,91.5,92.290001,88.099998,90.43,90.43,1028700
8/7/2019,89.019997,93.160004,88.019997,92.449997,92.449997,996100
8/8/2019,93.57,95.839996,93.019997,95.769997,95.769997,925600
8/9/2019,94.790001,95.489998,93.309998,94.199997,94.199997,800500
8/12/2019,93.050003,94.18,91.110001,92.160004,92.160004,779300
8/13/2019,92.059998,96.223,92.059998,95.449997,95.449997,1167200
8/14/2019,93.199997,94.522003,89.889999,92.650002,92.650002,1265700
8/15/2019,92.769997,93.440002,89.690002,90.639999,90.639999,1079800
8/16/2019,92.120003,95,92.080002,92.529999,92.529999,1259300
8/19/2019,94.18,96.199997,92.889999,93.169998,93.169998,1226000
8/20/2019,93,93.57,91.139999,91.410004,91.410004,746100
8/21/2019,92.860001,94.181,92.353996,93.010002,93.010002,760000
8/22/2019,93.480003,95.5,91.57,93.879997,93.879997,883000
8/23/2019,93.139999,94.129997,90.410004,91.629997,91.629997,1368400
8/26/2019,92.330002,93.5,91.449997,91.760002,91.760002,697400
8/27/2019,92.599998,93.690002,90.440002,91.730003,91.730003,825800
8/28/2019,91.160004,91.379997,88.710999,90.160004,90.160004,1148300
8/29/2019,91.5,92.68,90.699997,90.870003,90.870003,851800
8/30/2019,91.82,92.419998,89.019997,91.669998,91.669998,1186100
9/3/2019,91.5,94.239998,90.75,92.459999,92.459999,1538900
9/4/2019,93.949997,96,93.18,93.529999,93.529999,2400700
9/5/2019,94.239998,94.379997,88.510002,92.690002,92.690002,4991800
9/6/2019,92,96.5,84.860001,85.410004,85.410004,7289700
9/9/2019,85.75,85.940002,77.199997,78.650002,78.650002,6713800
9/10/2019,77,81.221001,76.809998,80.349998,80.349998,2813200
9/11/2019,80,81.860001,78.5,80.709999,80.709999,2013600
9/12/2019,81.449997,82.650002,79.900002,81.529999,81.529999,1955100
9/13/2019,81.57,82.475998,78.269997,78.849998,78.849998,1416800
9/16/2019,78.5,80.989998,78.260002,80.669998,80.669998,1630100
