sale_price,sq_ft,acreage
406100,2213,0.16
265000,2217,0.18
248000,2218,0.21
264000,2220,0.17
299000,2220,0.18
323000,2224,0.22
325000,2224,0.22
310000,2226,0.18
345000,2228,0.2
316500,2228,0.2
315000,2228,0.2
285000,2229,0.14
250000,2229,0.21
314000,2231,0.17
342500,2231,0.23
137500,2231,0.34
220000,2235,0.27
315000,2236,0.58
304200,2249,0.22
305000,2250,0.23
289900,2255,0.23
248000,2272,0.15
245000,2274,0.07
318000,2275,0.15
325900,2277,0.25
343000,2277,0.27
184900,2280,1.23
278000,2281,0.22
327500,2281,0.25
317000,2283,0.17
287000,2286,1.03
330000,2296,0.17
285000,2299,0.15
245000,2299,0.2
269500,2300,0.09
220000,2303,0.23
380000,2308,0.96
385000,2310,0.19
312000,2312,0.1
286000,2312,0.1
290000,2312,0.1
275000,2312,0.13
315000,2314,0.18
325000,2315,0.15
344900,2315,0.19
279000,2316,0.09
268000,2319,0.19
279900,2319,0.29
296000,2319,0.32
319600,2319,0.36
279000,2321,0.18
251900,2323,0.1
375000,2323,0.51
309000,2324,0.14
289900,2327,0.26
262000,2328,0.25
322400,2328,0.31
100000,2329,0.14
325000,2335,0.15
279000,2340,0.15
315000,2340,0.21
310000,2342,0.09
305000,2342,0.15
282500,2344,0.09
399000,2345,0.16
315000,2347,0.16
275000,2351,0.18
280000,2352,0.08
305000,2354,0.25
294000,2355,0.23
265000,2357,0.16
256000,2357,0.21
330100,2360,0.1
373800,2360,0.11
360000,2365,0.11
245000,2365,0.26
391000,2367,0.22
330000,2370,0.33
320000,2376,0.1
375000,2380,0.11
248000,2380,0.22
255000,2380,0.29
355000,2380,0.52
276800,2381,0.16
280000,2381,0.16
293000,2381,0.19
297600,2381,0.24
329900,2382,0.2
370000,2385,0.22
93200,2390,0.1
324500,2390,0.18
308000,2392,0.1
294900,2394,0.24
267700,2395,0.19
263200,2399,0.16
319000,2400,0.1
378200,2400,0.15
270500,2400,0.16
308400,2400,0.16
300000,2400,0.16
290000,2400,0.17
292000,2400,0.18
298900,2400,0.18
297200,2400,0.22
300000,2400,0.22
331000,2400,0.23
286700,2402,0.16
308500,2404,0.19
300000,2408,0.16
394800,2410,0.17
299000,2410,0.23
272500,2410,0.23
238000,2411,0.17
327500,2414,0.3
327000,2418,0.17
306000,2420,0.15
394100,2420,0.15
429600,2420,0.17
315000,2421,0.14
272000,2421,0.14
314000,2421,0.15
145000,2422,3.76
265000,2424,0.14
340000,2424,0.37
226000,2427,0.23
301000,2430,0.23
339900,2431,0.11
423200,2431,0.19
330000,2431,0.2
412500,2431,0.26
325000,2434,0.1
399000,2436,0.15
309000,2437,0.12
207000,2440,0.15
314000,2446,0.12
332000,2446,0.14
299000,2446,0.16
375000,2446,0.22
275000,2446,0.27
305000,2447,0.37
414700,2449,0.16
331000,2451,0.25
369900,2454,0.29
297000,2455,0.22
270000,2458,0.21
305000,2459,0.23
290000,2460,0.2
365000,2460,0.27
348000,2461,0.11
370000,2462,0.27
260000,2463,0.19
310000,2466,0.18
340000,2472,0.2
352400,2473,0.11
352500,2480,0.19
352500,2480,0.25
276800,2485,0.16
361900,2486,0.14
320000,2490,0.26
295000,2496,0.18
498100,2496,0.66
300000,2502,0.1
296000,2505,0.18
