sale_price,sq_ft,acreage
295000,2617,0.1
235000,1817,0.11
335000,2486,0.16
367000,2904,0.18
740000,4384,0.3
975000,4314,0.34
573000,3869,0.51
270000,2051,0.12
235000,1350,0.14
292000,2281,0.22
484400,3416,0.3
326000,2478,0.19
699000,3865,0.56
287900,2037,0.13
350000,2546,0.13
372000,2509,0.14
485000,3234,0.16
189400,1330,0.17
360000,2680,0.37
257500,2014,0.15
324000,2388,0.11
650000,3929,0.39
295000,2014,0.14
265000,2025,0.22
220000,2235,0.27
83500,2723,0.3
183300,2533,0.11
299000,1816,0.14
356600,2565,0.19
369900,2944,0.21
390000,2758,0.19
353000,2408,0.2
442000,2688,0.3
495000,3248,0.31
560000,4067,0.38
335000,2048,0.12
307500,2026,0.14
293500,2046,0.15
630000,3118,0.26
347000,2238,0.35
700000,3770,0.39
348000,2461,0.11
239900,1581,0.16
438300,2647,0.18
282000,1609,0.2
269000,1541,0.14
267000,1766,0.21
365000,2460,0.27
210000,1239,0.12
242000,1819,0.15
315000,2314,0.18
293000,2034,0.21
350000,2589,0.21
361000,2221,0.22
389000,2552,0.22
309000,2310,0.24
399900,2655,0.37
530000,3419,0.7
670000,4138,0.26
555000,3389,0.51
405000,3096,0.51
600000,4073,0.54
330100,1881,0.2
442000,2815,0.32
249900,1730,0.15
215000,1559,0.19
325000,2490,0.2
687400,4121,0.21
550000,3902,0.29
318000,2524,0.32
455000,3310,0.36
332000,2645,0.38
297500,4266,0.48
910600,3723,0.35
260000,2106,0.16
448000,2949,0.29
209500,1562,0.12
567500,3842,0.22
195000,1540,0.1
304200,1752,0.14
298000,2229,0.16
408000,2880,0.18
362000,2874,0.19
298900,2165,0.26
333500,2552,0.26
202500,1458,0.87
310000,2220,0.17
469000,3093,0.19
340000,2316,0.25
520800,3458,0.34
204900,1469,0.14
340000,2196,0.17
235000,1497,0.24
400000,3279,0.35
525000,3943,0.41
459000,3061,0.3
500000,3109,0.51
270000,1895,0.18
508000,3289,0.39
627000,3821,0.34
425000,3393,0.15
419000,2845,0.16
315000,2470,0.17
350000,2543,0.15
350000,2550,0.28
280000,1720,0.29
525000,3410,0.42
570500,3637,0.44
335000,2547,0.09
435000,3431,0.13
397100,2646,0.16
397500,2850,0.17
390000,2617,0.19
255000,1625,0.2
269900,1935,0.32
393500,2811,0.32
455000,2949,0.32
575800,3305,0.51
352000,2656,0.13
275000,2351,0.18
305000,2250,0.23
416000,3098,0.25
432500,2974,0.32
265500,2274,0.33
300000,2247,0.44
394600,2213,0.23
557500,3756,0.44
675000,4260,0.63
287000,1571,0.14
389900,2387,0.39
365000,2547,0.11
289000,2014,0.17
289000,2193,0.17
375000,2239,0.29
369000,3274,0.37
732000,4175,0.39
537600,3408,0.41
390000,3492,0.58
248000,1744,0.14
498000,3180,0.22
525000,3604,0.22
645000,4725,0.65
509000,3139,0.2
331000,2400,0.23
450000,2885,0.33
413500,2647,0.21
370000,2923,0.24
486000,3305,0.31
418000,2772,0.37
360000,2400,0.38
219000,1469,0.14
399000,2882,0.19
339000,2547,0.11
248000,1674,0.15
295000,2046,0.15
375000,2227,0.15
255000,1771,0.16
212000,1365,0.17
515000,3081,0.25
310000,2042,0.28
504000,3218,0.3
324900,2208,0.15
309000,1905,0.19
417500,3025,0.2
379900,2961,0.26
579900,3636,0.4
498100,2496,0.66
425000,3068,0.17
416000,2777,0.22
599000,4337,0.5
355000,2432,0.16
467500,3144,0.18
275000,2014,0.19
330000,2431,0.2
685000,3630,0.26
370000,3139,0.09
464000,3291,0.17
413000,2469,0.24
540000,3053,0.27
515000,3107,0.19
455000,3224,0.26
620000,3442,0.35
400000,2653,0.41
344500,2736,0.13
474000,2500,0.25
575000,3243,0.25
253000,1706,0.1
232000,1809,0.13
355000,2518,0.13
365000,2656,0.15
470000,3213,0.18
352500,2480,0.19
510000,3879,0.19
485000,3103,0.29
248000,2491,0.3
405000,2765,0.35
685000,4066,0.37
889000,4747,0.46
530000,2991,0.61
339000,2673,0.11
397000,2821,0.14
344000,2521,0.15
415000,2744,0.17
395000,2561,0.19
450000,3076,0.24
395000,2702,0.25
205000,1342,0.11
269000,1551,0.14
349900,2686,0.14
427000,2838,0.19
430000,3139,0.21
339000,2506,0.22
365000,2722,0.25
325000,2145,0.33
365000,2932,0.11
345000,2392,0.13
325000,2551,0.21
311000,2513,0.25
318000,2727,0.35
515000,3231,0.19
470000,3312,0.25
410000,2951,0.28
880000,4088,0.29
490000,3304,0.33
730000,5307,0.33
515000,3141,0.55
488000,2984,0.64
370000,2514,0.29
600000,3742,0.51
229900,1440,0.13
260000,2016,0.15
280000,1961,0.16
315000,2168,0.35
618000,4266,0.4
315000,2208,0.1
656400,4315,0.22
465000,3245,0.33
240000,1751,0.14
335500,2360,0.5
575000,3795,0.4
610000,3401,0.4
201000,1328,0.11
362000,2700,0.13
335900,1921,0.14
414000,2720,0.3
547000,3530,0.3
599000,4396,0.63
427500,2600,0.18
468100,2499,0.39
500000,3409,0.29
561000,2919,0.31
334900,2084,0.14
335000,2517,0.24
549000,3457,0.39
379000,2834,0.22
206500,1444,0.16
332000,2446,0.14
360000,2932,0.14
315000,2128,0.17
625000,3892,0.24
299900,1992,0.1
447000,2949,0.34
250000,1691,0.13
250000,1802,0.13
216000,1559,0.16
340000,2048,0.16
499800,3644,0.25
392500,2580,0.29
319900,2380,0.34
460000,2841,0.51
299900,2072,0.14
301200,1905,0.14
515000,3539,0.22
